Pertanyaan	Jawaban	Kategori
Promo apa yang sedang berjalan?	Untuk promo terbaru yang berlaku, tim marketing kami yang paling update dan bisa infokan detailnya yaa kak - kalau mau saya sambungkan. Yang pasti, kalau ada bonus cashback, sifatnya POTONGAN HARGA DI DEPAN (mengurangi harga jual sebelum uang muka & plafon KPR dihitung), bukan uang tunai yang diterima setelah akad. Harga jual juga sudah termasuk AJB, IMB, SHGB, BPHTB & biaya KPR. Catatan: promo lama seperti bonus sepeda listrik, AC, internet, dan free kanopi sudah tidak berlaku.	Promo
Boleh minta nomor yang bisa ditelepon?	Silakan hubungi hotline kami di 0822-8181-1212 ya kak 😊	Kontak
Mau survey ke lokasi, bisa kapan?	Bisa kak! Biasanya paling enak Sabtu/Minggu, tapi hari kerja juga bisa. Kakak rencana mau ke lokasi kapan? Nanti saya jadwalkan dan tim lapangan kami siap menyambut di kantor pemasaran dekat gerbang.	Survey
Lokasinya dimana	"Alamat : Kp Jati, Desa Caringin, Kec. Cisoka, Kab. Tangerang
Di Jl. Cisoka Raya, Desa Caringin, Kec. Cisoka, Kab. Tangerang - arah Cangkudu, dekat Pasar Cisoka dan Polsek Cisoka.
Untuk jam oprasional kantor marketing kami setiap hari buka dari jam 09.00 s/d 17.00
Alamat Persada Cisoka Residence
(021) 59574215
https://maps.app.goo.gl/bjyt4pytMM53KDzRA"	Lokasi
Link google maps nya ada?	https://maps.app.goo.gl/bjyt4pytMM53KDzRA	Lokasi
Jam operasional kantor marketing nya kapan?	"setiap hari buka dari jam 09.00 s/d 17.00, no telp (021) 59574215
Putri 0895-4129-04291
Rudi 0813-1551-2766"	Lokasi
Pembayaran booking/DP ditransfer ke rekening mana?	Pembayaran resmi HANYA ke rekening perusahaan: Bank BTN, no. rek 0016201300007362, a.n. PT Hidup Persada Raya. Mohon jangan transfer ke rekening pribadi siapa pun ya kak 🙏	Booking
Bagaimana kalau mau ganti jadwal survey?	Bisa kak 😊 Tinggal kabari mau diganti ke hari/jam kapan, nanti tim kami atur ulang. Survey hari biasa juga bisa, mulai jam 08.00 pagi.	Survey
Lokasi kejauhan dari tempat kerja	Baik kak, saya mengerti pertimbangannya. Semoga ke depannya ada kesempatan yang lebih sesuai dengan kebutuhan kakak. Terima kasih sudah meluangkan waktu 🙏	Penanganan Keberatan
Harga/cicilan terasa berat	Kalau cicilan komersil terasa berat, ada alternatif tipe 30/60 subsidi yang lebih ringan kak — cicilan flat mulai Rp1.100.000/bln (tenor 20 thn), DP total Rp9.000.000 dan bisa dicicil 4x.	Penanganan Keberatan
Kalau butuh bantuan cepat / bot tidak merespons, hubungi siapa?	Bisa hubungi hotline resmi 0822-8181-1212, atau WhatsApp 6287888542255 (aktif 24 jam) ya kak 😊	Kontak
Boleh diinfo kavling yang kosong?	Info terkait kavling yang kosong dapat diketahui saat survey lapangan yaa.	Survey
ada orang di kantor marketing yang bisa dihubungi?	"Boleh hubungi ke sini yaa kak
Putri 0895-4129-04291
Rudi 0813-1551-2766"	
Listrik rumahnya berapa watt?		Unit
Sumber airnya PDAM atau sumur bor?		Unit
Carport-nya muat mobil tidak?		Unit
Berapa lebar jalan di depan rumah?		Unit
Rangka atap dan dindingnya pakai material apa?		Unit
Rumahnya boleh direnovasi atau ditambah lantai 2?		Unit
Ada tipe lain selain 36/72, 36/81, dan 30/60?		Unit
Unitnya sudah termasuk pagar dan kanopi?		Unit
Ada security 24 jam / one gate system / CCTV?		Fasilitas
Iuran bulanan (IPL) berapa?		Fasilitas
Sampah dan kebersihan lingkungan dikelola siapa?		Fasilitas
Total ada berapa unit/kavling di perumahan ini?		Fasilitas
Daerah situ pernah banjir tidak?		Lokasi
Sekolah terdekat apa dan berapa jauh?		Lokasi
Rumah sakit atau klinik terdekat di mana?		Lokasi
Pasar atau minimarket terdekat berapa menit?		Lokasi
Biaya balik nama dari SHGB ke SHM berapa?		Legalitas
Akadnya di mana dan notarisnya siapa?		Legalitas
Kalau pembeli meninggal sebelum lunas, bagaimana asuransinya?		Legalitas
Nanti bisa over kredit tidak?		Legalitas
Kalau mau dijual lagi sebelum lunas, boleh?		Legalitas
Bisa KPR lewat bank selain BTN (BCA/Mandiri/BRI)?		KPR
Kalau saya freelancer atau karyawan kontrak, bisa ajukan KPR?		KPR
Kalau BI checking saya bermasalah, masih bisa diproses?		KPR
WNI di luar negeri / TKI bisa ajukan KPR?		KPR
Berapa lama proses KPR sampai akad?		KPR
Kalau bayar cash keras, harganya jadi berapa?		Harga & Pembayaran
Serah terima unit atau serah terima kunci kapan?		Booking
Berapa unit yang sudah terjual sejauh ini?		Booking
Developernya pernah menyelesaikan proyek apa saja sebelumnya?		Lingkungan
Harga rumahnya sudah termasuk apa saja?	Harga jual sudah termasuk Akte Jual Beli (AJB), Izin Mendirikan Bangunan (IMB), Sertifikat Hak Guna Bangunan (SHGB), BPHTB dan biaya KPR, listrik 1.300 Watt, serta air sumur (tanpa pompa) kak. Saat akad nanti masih ada PBB dan materai yaa.	Harga & Pembayaran
Kalau KPR saya ditolak bank, uang saya gimana?	Sesuai ketentuan developer: kalau KPR ditolak bank atau pembelian batal, booking fee hangus kak. Kalau uang muka sudah dibayar lalu batal, uang muka dipotong 10% dari total uang muka. Untuk tahap reservasi Rp500.000 (cek data awal), uangnya kembali kalau tidak disetujui. Karena itu tim kami cek kelayakan data dulu di awal supaya aman.	Booking
Kalau plafon KPR yang disetujui turun, gimana?	Bunga dan plafon kredit sepenuhnya kewenangan pihak bank kak. Kalau plafon KPR yang disetujui turun dari perkiraan, selisih penurunannya menjadi tambahan uang muka dan wajib dilunasi sebelum akad KPR. Tim kami bantu dampingi prosesnya dari awal supaya perkiraannya realistis.	KPR
Berapa lama berkas KPR harus dilengkapi?	Berkas KPR harus lengkap paling lambat 2 minggu setelah booking fee kak. Nanti tim kami bantu ingatkan dan cek kelengkapannya.	KPR
Kalau saya mau pindah kavling, bisa?	Bisa kak, tapi ada biaya pindah kavling sebesar Rp2.000.000 sesuai ketentuan developer. Makanya enak kalau pilih kavlingnya sekalian pas survey ke lokasi, jadi sudah mantap dari awal.	Booking
Luas tanahnya pasti sesuai yang di brosur?	Luas tanah mengikuti hasil pengukuran resmi BPN kak, jadi bisa ada sedikit selisih dari angka di brosur. Angka BPN yang jadi acuan resmi di sertifikat.	Legalitas
Saya wiraswasta, bukan karyawan. Bisa KPR?	Bisa kak. Cuma dokumennya beda dari pemohon karyawan - karena tidak ada slip gaji dan surat keterangan kerja. Untuk daftar dokumen pengganti yang pas buat wiraswasta, tim marketing kami yang infokan langsung yaa supaya akurat. Mau saya sambungkan?	KPR
Unit hook harganya berapa?	Unit hook itu kavling sudut yang punya kelebihan tanah kak. Harganya = harga unit standard ditambah kelebihan tanahnya, kisarannya mulai Rp1.000.000 per m2. Berapa m2 kelebihan yang diambil itu kakak sendiri yang pilih pas survey di lokasi, tergantung posisi bloknya juga. Jadi angka pastinya paling enak dihitung langsung di lokasi - mau saya bantu jadwalkan survey?	Harga & Pembayaran
Uang mukanya harus lunas kapan?	Sesuai ketentuan developer, uang muka harus lunas sebelum akad kredit kak. Untuk rincian nominal dan skema cicilan uang mukanya, tim marketing kami yang bisa pastikan sesuai tipe unit yang kakak pilih.	Harga & Pembayaran
